"","truth.exercise","truth.start","truth.end"
"1",1,51,215
"2",1,240,403
"3",1,428,567
"4",1,600,750
"5",1,775,945
"6",1,993,1165
"7",1,1220,1377
"8",1,1415,1571
"9",1,1605,1770
"10",1,1805,1990
"11",1,2600,2650
"12",1,2670,2720
"13",1,2740,2785
"14",1,2800,2850
"15",1,2890,2930
"16",1,2955,3010
"17",1,3040,3100
"18",1,3130,3185
"19",1,3215,3270
"20",1,3300,3350
"21",1,4060,4245
"22",1,4265,4425
"23",1,4460,4620
"24",1,4660,4815
"25",1,4835,5000
"26",1,5035,5175
"27",1,5190,5350
"28",1,5365,5510
"29",1,5530,5665
"30",1,5690,5880
"31",2,40,220
"32",2,245,410
"33",2,420,580
"34",2,600,760
"35",2,770,935
"36",2,960,1115
"37",2,1130,1310
"38",2,1330,1510
"39",2,1530,1710
"40",2,1725,1890
"41",2,2555,2640
"42",2,2655,2740
"43",2,2765,2845
"44",2,2860,2930
"45",2,2960,3030
"46",2,3065,3145
"47",2,3185,3270
"48",2,3310,3390
"49",2,3420,3500
"50",2,3535,3600
"51",2,4040,4230
"52",2,4230,4400
"53",2,4420,4580
"54",2,4600,4750
"55",2,4775,4930
"56",2,4950,5130
"57",2,5160,5320
"58",2,5350,5500
"59",2,5530,5675
"60",2,5700,5850
"61",3,40,240
"62",3,241,450
"63",3,455,630
"64",3,635,810
"65",3,815,1000
"66",3,1001,1160
"67",3,1175,1335
"68",3,1340,1520
"69",3,1535,1725
"70",3,1745,1935
"71",3,2530,2625
"72",3,2650,2730
"73",3,2750,2815
"74",3,2830,2910
"75",3,2930,3025
"76",3,3050,3130
"77",3,3150,3250
"78",3,3265,3335
"79",3,3355,3430
"80",3,3450,3540
"81",3,4065,4260
"82",3,4265,4435
"83",3,4440,4605
"84",3,4610,4770
"85",3,4775,4960
"86",3,4965,5165
"87",3,5165,5350
"88",3,5355,5440
"89",3,5555,5740
"90",3,5745,5920
"91",4,85,260
"92",4,290,460
"93",4,480,640
"94",4,670,830
"95",4,860,1020
"96",4,1050,1205
"97",4,1235,1400
"98",4,1435,1600
"99",4,1640,1810
"100",4,1830,2000
"101",4,2570,2640
"102",4,2670,2725
"103",4,2750,2810
"104",4,2830,2900
"105",4,2930,3000
"106",4,3030,3095
"107",4,3130,3190
"108",4,3220,3280
"109",4,3320,3380
"110",4,3415,3485
"111",4,4110,4275
"112",4,4300,4440
"113",4,4455,4600
"114",4,4610,4740
"115",4,4760,4905
"116",4,4940,5080
"117",4,5100,5225
"118",4,5225,5375
"119",4,5390,5520
"120",4,5540,5660
"121",5,60,210
"122",5,210,385
"123",5,385,550
"124",5,550,730
"125",5,730,925
"126",5,925,1090
"127",5,1090,1260
"128",5,1260,1425
"129",5,1425,1600
"130",5,1600,1765
"131",5,2610,2665
"132",5,2675,2740
"133",5,2760,2817
"134",5,2845,2906
"135",5,2930,3000
"136",5,3015,3075
"137",5,3085,3160
"138",5,3190,3246
"139",5,3285,3345
"140",5,3375,3400
"141",5,4100,4265
"142",5,4280,4430
"143",5,4450,4615
"144",5,4635,4790
"145",5,4820,4980
"146",5,5010,5180
"147",5,5200,5350
"148",5,5370,5520
"149",5,5540,5680
"150",5,5700,5840
"151",6,40,250
"152",6,260,440
"153",6,470,685
"154",6,720,920
"155",6,950,1190
"156",6,1210,1400
"157",6,1425,1645
"158",6,1670,1885
"159",6,1900,2100
"160",6,2140,2350
"161",6,2530,2610
"162",6,2625,2700
"163",6,2710,2800
"164",6,2800,2890
"165",6,2895,2990
"166",6,3000,3100
"167",6,3120,3210
"168",6,3230,3320
"169",6,3340,3435
"170",6,3460,3540
"171",6,4040,4200
"172",6,4220,4380
"173",6,4410,4570
"174",6,4585,4740
"175",6,4755,4920
"176",6,4940,5105
"177",6,5125,5290
"178",6,5305,5480
"179",6,5510,5665
"180",6,5695,5865
"181",7,50,250
"182",7,270,450
"183",7,480,670
"184",7,690,900
"185",7,920,1120
"186",7,1135,1325
"187",7,1325,1520
"188",7,1530,1735
"189",7,1760,1945
"190",7,1975,2150
"191",7,2550,2620
"192",7,2640,2710
"193",7,2730,2800
"194",7,2825,2895
"195",7,2915,2995
"196",7,3020,3095
"197",7,3115,3195
"198",7,3215,3300
"199",7,3325,3405
"200",7,3425,3505
"201",7,4020,4195
"202",7,4215,4365
"203",7,4390,4560
"204",7,4590,4755
"205",7,4790,4955
"206",7,4980,5140
"207",7,5160,5325
"208",7,5340,5520
"209",7,5540,5690
"210",7,5710,5890
"211",8,100,250
"212",8,250,415
"213",8,415,600
"214",8,615,770
"215",8,790,950
"216",8,950,1120
"217",8,1125,1275
"218",8,1280,1450
"219",8,1450,1605
"220",8,1605,1765
"221",8,2590,2650
"222",8,2655,2720
"223",8,2720,2790
"224",8,2790,2860
"225",8,2865,2940
"226",8,2940,3020
"227",8,3030,3100
"228",8,3100,3180
"229",8,3185,3265
"230",8,3270,3345
"231",8,4020,4180
"232",8,4180,4325
"233",8,4325,4500
"234",8,4510,4670
"235",8,4690,4860
"236",8,4860,5050
"237",8,5055,5250
"238",8,5250,5430
"239",8,5450,5610
"240",8,5640,5790
